,country,people,obesity_levels,obesity_level_percentage,date
530,Cuba, males ,overweight ,>=25.0,2001
531,Cuba, males ,overweight ,>=25.0,2002
532,Cuba, males ,pre-obese ,25.0-29.99,2001
533,Cuba, males ,pre-obese ,25.0-29.99,2002
534,Cuba, males ,underweight ,<18.5,2001
535,Cuba, males ,underweight ,<18.5,2002
536,Cyprus, adults ,normal ,18.5-24.99,2003
537,Cyprus, adults ,obese ,>=30.0,2003
538,Cyprus, adults ,overweight ,>=25.0,2003
539,Cyprus, adults ,pre-obese ,25.0-29.99,2003
540,Cyprus, adults ,underweight ,<18.5,2003
541,Cyprus, females ,normal ,18.5-24.99,2003
542,Cyprus, females ,obese ,>=30.0,2003
543,Cyprus, females ,overweight ,>=25.0,2003
544,Cyprus, females ,pre-obese ,25.0-29.99,2003
545,Cyprus, females ,underweight ,<18.5,2003
546,Cyprus, males ,normal ,18.5-24.99,2003
547,Cyprus, males ,obese ,>=30.0,2003
548,Cyprus, males ,overweight ,>=25.0,2003
549,Cyprus, males ,pre-obese ,25.0-29.99,2003
550,Cyprus, males ,underweight ,<18.5,2003
551,Czech Republic, adults ,normal ,18.5-24.99,1999
552,Czech Republic, adults ,normal ,18.5-24.99,2002
553,Czech Republic, adults ,obese ,>=30.0,1999
554,Czech Republic, adults ,obese ,>=30.0,2002
555,Czech Republic, adults ,overweight ,>=25.0,1999
556,Czech Republic, adults ,overweight ,>=25.0,2002
557,Czech Republic, adults ,pre-obese ,25.0-29.99,1999
558,Czech Republic, adults ,pre-obese ,25.0-29.99,2002
